* T-Spice 6.02 Simulation	Fri Nov 12 20:15:19 2021	D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\Module0.sp  (CAZM)
* Command line: tspice -o D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\Module0.out D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\Module0.sp 
* T-Spice Win32 6.02.20000302.11:47:10
* Operating System: Windows NT/95

*SEDIT: probesdbfile="D:\Materials\college\final year\Final-year-projects\Digital IC\lab1\inverter_schematic.sdb"
*SEDIT: probetopmodule="Module0"
*SEDIT: Alter blocks = 0

* Device and node counts:
*             MOSFETs - 2                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 1                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 2                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        Functional model instances - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 3       
*         Total nodes - 4       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 1 ACMODEL 1 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

* BEGIN NON-GRAPHICAL DATA

DC ANALYSIS
   2.7573e-008  5.0000e+000 -2.0978e-005
   2.8573e-008  5.0000e+000 -7.0838e-006
   2.9000e-008  5.0000e+000 -3.8585e-006
 2.900842e-008  4.9579e+000 -1.2497e-003
  2.91363e-008  4.3182e+000 -1.8321e-002
  2.93832e-008  3.0840e+000 -4.4394e-002
  2.95865e-008  2.0671e+000 -4.1785e-002
  2.97705e-008  1.1472e+000 -6.6305e-004
  2.99849e-008  7.5274e-002  1.2827e-001
 3.000000e-008  0.0000e+000  1.4115e-001
 3.001374e-008  6.8724e-002  1.5574e-001
  3.01005e-008  5.0272e-001  2.4001e-001
  3.01826e-008  9.1305e-001  3.0757e-001
  3.04048e-008  2.0242e+000  4.2814e-001
  3.05311e-008  2.6557e+000  4.4702e-001
  3.05726e-008  2.8635e+000  4.4341e-001
  3.06228e-008  3.1142e+000  4.3557e-001
  3.06708e-008  3.3540e+000  4.2534e-001
  3.07287e-008  3.6439e+000  4.0969e-001
  3.08428e-008  4.2141e+000  3.6956e-001
  3.09523e-008  4.7618e+000  3.2426e-001
  3.10000e-008  5.0000e+000  3.0450e-001
  3.10935e-008  5.0000e+000  2.5913e-001
  3.12048e-008  5.0000e+000  2.1134e-001
  3.13224e-008  5.0000e+000  1.6885e-001
  3.15581e-008  5.0000e+000  1.0709e-001
  3.17989e-008  5.0000e+000  6.8028e-002
  3.20377e-008  5.0000e+000  4.3631e-002
  3.22549e-008  5.0000e+000  2.8767e-002
  3.25098e-008  5.0000e+000  1.7210e-002
   3.2961e-008  5.0000e+000  6.4292e-003
   3.3358e-008  5.0000e+000  2.5914e-003
   3.3796e-008  5.0000e+000  9.5214e-004
   3.4371e-008  5.0000e+000  1.4064e-004
   3.5161e-008  5.0000e+000  5.5172e-005
   3.6161e-008  5.0000e+000  1.8646e-005
   3.7161e-008  5.0000e+000  6.3011e-006
   3.8161e-008  5.0000e+000  2.1292e-006
   3.9000e-008  5.0000e+000  8.0572e-007
 3.900842e-008  4.9579e+000 -1.2451e-003
  3.91363e-008  4.3181e+000 -1.8320e-002
  3.93833e-008  3.0831e+000 -4.4400e-002
  3.95867e-008  2.0663e+000 -4.1760e-002
  3.97707e-008  1.1464e+000 -5.9724e-004
  3.99852e-008  7.3807e-002  1.2852e-001
 4.000000e-008  0.0000e+000  1.4115e-001
 4.001342e-008  6.7135e-002  1.5540e-001
  4.01000e-008  5.0041e-001  2.3961e-001
  4.01821e-008  9.1094e-001  3.0726e-001
  4.04070e-008  2.0353e+000  4.2883e-001
  4.05333e-008  2.6669e+000  4.4711e-001
  4.05753e-008  2.8766e+000  4.4326e-001
  4.06261e-008  3.1305e+000  4.3506e-001
  4.06743e-008  3.3720e+000  4.2452e-001
  4.07325e-008  3.6626e+000  4.0859e-001
  4.08468e-008  4.2341e+000  3.6799e-001
  4.09568e-008  4.7841e+000  3.2245e-001
  4.10000e-008  5.0000e+000  3.0456e-001
  4.10908e-008  5.0000e+000  2.6032e-001
  4.12051e-008  5.0000e+000  2.1113e-001
  4.13231e-008  5.0000e+000  1.6855e-001
  4.15670e-008  5.0000e+000  1.0522e-001
  4.18132e-008  5.0000e+000  6.6221e-002
  4.20522e-008  5.0000e+000  4.2475e-002
  4.22706e-008  5.0000e+000  2.7937e-002
  4.25284e-008  5.0000e+000  1.6596e-002
   4.2965e-008  5.0000e+000  6.4212e-003
  4.33585e-008  5.0000e+000  2.2851e-003
   4.3953e-008  5.0000e+000 -3.9354e-005
   4.4640e-008  5.0000e+000 -5.2038e-004
   4.5573e-008  5.0000e+000 -1.8397e-004
   4.6573e-008  5.0000e+000 -6.2124e-005
   4.7573e-008  5.0000e+000 -2.0978e-005
   4.8573e-008  5.0000e+000 -7.0838e-006
  4.90000e-008  5.0000e+000 -3.8585e-006
 4.900842e-008  4.9579e+000 -1.2497e-003
  4.91363e-008  4.3182e+000 -1.8321e-002
  4.93832e-008  3.0840e+000 -4.4394e-002
  4.95865e-008  2.0671e+000 -4.1785e-002
  4.97705e-008  1.1472e+000 -6.6305e-004
  4.99849e-008  7.5274e-002  1.2827e-001
 5.000000e-008  0.0000e+000  1.4115e-001
 5.001374e-008  6.8724e-002  1.5574e-001
  5.01005e-008  5.0272e-001  2.4001e-001
  5.01826e-008  9.1305e-001  3.0757e-001
  5.04048e-008  2.0242e+000  4.2814e-001
  5.05311e-008  2.6557e+000  4.4702e-001
 5.057269e-008  2.8635e+000  4.4341e-001
 5.062284e-008  3.1142e+000  4.3557e-001
 5.067080e-008  3.3540e+000  4.2534e-001
  5.07287e-008  3.6439e+000  4.0969e-001
  5.08428e-008  4.2141e+000  3.6956e-001
  5.09523e-008  4.7618e+000  3.2426e-001
 5.100000e-008  5.0000e+000  3.0450e-001
  5.10935e-008  5.0000e+000  2.5913e-001
  5.12048e-008  5.0000e+000  2.1134e-001
  5.13224e-008  5.0000e+000  1.6885e-001
  5.15581e-008  5.0000e+000  1.0709e-001
  5.17989e-008  5.0000e+000  6.8028e-002
  5.20377e-008  5.0000e+000  4.3631e-002
  5.22549e-008  5.0000e+000  2.8767e-002
  5.25098e-008  5.0000e+000  1.7210e-002
  5.29615e-008  5.0000e+000  6.4292e-003
  5.33584e-008  5.0000e+000  2.5914e-003
  5.37964e-008  5.0000e+000  9.5214e-004
   5.4371e-008  5.0000e+000  1.4064e-004
   5.5161e-008  5.0000e+000  5.5172e-005
   5.6161e-008  5.0000e+000  1.8646e-005
   5.7161e-008  5.0000e+000  6.3011e-006
   5.8161e-008  5.0000e+000  2.1292e-006
   5.9000e-008  5.0000e+000  8.0572e-007
 5.900842e-008  4.9579e+000 -1.2451e-003
  5.91363e-008  4.3181e+000 -1.8320e-002
  5.93833e-008  3.0831e+000 -4.4400e-002
  5.95867e-008  2.0663e+000 -4.1760e-002
  5.97707e-008  1.1464e+000 -5.9724e-004
  5.99852e-008  7.3807e-002  1.2852e-001
 6.000000e-008  0.0000e+000  1.4115e-001
 6.001342e-008  6.7135e-002  1.5540e-001
  6.01000e-008  5.0041e-001  2.3961e-001
  6.01821e-008  9.1094e-001  3.0726e-001
  6.04070e-008  2.0353e+000  4.2883e-001
  6.05333e-008  2.6669e+000  4.4711e-001
 6.057531e-008  2.8766e+000  4.4326e-001
 6.062610e-008  3.1305e+000  4.3506e-001
 6.067439e-008  3.3720e+000  4.2452e-001
 6.073251e-008  3.6626e+000  4.0859e-001
  6.08468e-008  4.2341e+000  3.6799e-001
  6.09568e-008  4.7841e+000  3.2245e-001
 6.100000e-008  5.0000e+000  3.0456e-001
  6.10908e-008  5.0000e+000  2.6032e-001
  6.12051e-008  5.0000e+000  2.1113e-001
  6.13231e-008  5.0000e+000  1.6855e-001
  6.15670e-008  5.0000e+000  1.0522e-001
  6.18132e-008  5.0000e+000  6.6221e-002
  6.20522e-008  5.0000e+000  4.2475e-002
  6.22706e-008  5.0000e+000  2.7937e-002
  6.25284e-008  5.0000e+000  1.6596e-002
  6.29654e-008  5.0000e+000  6.4212e-003
  6.33585e-008  5.0000e+000  2.2851e-003
  6.39536e-008  5.0000e+000 -3.9354e-005
   6.4640e-008  5.0000e+000 -5.2038e-004
   6.5573e-008  5.0000e+000 -1.8397e-004
   6.6573e-008  5.0000e+000 -6.2124e-005
   6.7573e-008  5.0000e+000 -2.0978e-005
   6.8573e-008  5.0000e+000 -7.0838e-006
  6.90000e-008  5.0000e+000 -3.8585e-006
 6.900842e-008  4.9579e+000 -1.2497e-003
  6.91363e-008  4.3182e+000 -1.8321e-002
  6.93832e-008  3.0840e+000 -4.4394e-002
  6.95865e-008  2.0671e+000 -4.1785e-002
  6.97705e-008  1.1472e+000 -6.6305e-004
  6.99849e-008  7.5274e-002  1.2827e-001
 7.000000e-008  2.4869e-014  1.4115e-001

* Parsing                      0.02 seconds
* Setup                        0.01 seconds
* DC operating point           0.02 seconds
* Transient Analysis           0.06 seconds
* -----------------------------------------
* Total                        0.11 seconds


* End of T-Spice output file
