* T-Spice 6.02 Simulation	Thu Dec 30 18:31:11 2021	D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response_max_freq.sp  (CAZM)
* Command line: tspice -o D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response_max_freq.out D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\Simulation\transient_response_max_freq.sp 
* T-Spice Win32 6.02.20000302.11:47:10
* Operating System: Windows NT/95

*SEDIT: probesdbfile="D:\Materials\college\final year\Final-year-projects\Digital IC\labs\lab1\inverter_sch.sdb"
*SEDIT: probetopmodule="Module0"
*SEDIT: Alter blocks = 0

* Device and node counts:
*             MOSFETs - 2                 MOSFET geometries - 2       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 2                   Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        Functional model instances - 0       
*         Subcircuits - 0              Subcircuit instances - 0       
*   Independent nodes - 1                    Boundary nodes - 3       
*         Total nodes - 4       


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 1 ACMODEL 1 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

* BEGIN NON-GRAPHICAL DATA

DC ANALYSIS
   4.3156e-004  5.0000e+000 -2.4929e-008
   4.4156e-004  5.0000e+000 -3.7314e-008
   4.5156e-004  5.0000e+000 -4.9698e-008
   4.6156e-004  5.0000e+000 -6.2083e-008
   4.7156e-004  5.0000e+000 -7.4468e-008
   4.8156e-004  5.0000e+000 -8.6853e-008
   4.9156e-004  5.0000e+000 -9.9238e-008
   5.0156e-004  5.0000e+000 -1.1162e-007
   5.0999e-004  5.0000e+000 -1.2206e-007
 5.101977e-004  4.9011e+000 -1.1753e-005
  5.10978e-004  4.5109e+000 -1.2809e-005
  5.12575e-004  3.7122e+000  1.8881e-002
  5.13900e-004  3.0496e+000  2.2613e-001
  5.14438e-004  2.7809e+000  4.6289e-001
 5.147562e-004  2.6219e+000  7.7905e-001
 5.148642e-004  2.5679e+000  1.0678e+000
 5.149161e-004  2.5419e+000  1.5029e+000
 5.1496237e-004  2.5188e+000  2.0389e+000
 5.1500942e-004  2.4953e+000  2.6289e+000
 5.150671e-004  2.4664e+000  3.3786e+000
 5.1510804e-004  2.4460e+000  3.8247e+000
 5.1514818e-004  2.4259e+000  4.0061e+000
 5.1518304e-004  2.4085e+000  4.0950e+000
 5.1521279e-004  2.3936e+000  4.1513e+000
 5.152918e-004  2.3541e+000  4.2633e+000
 5.154391e-004  2.2804e+000  4.4086e+000
 5.156596e-004  2.1702e+000  4.5523e+000
 5.160161e-004  1.9919e+000  4.7048e+000
 5.164586e-004  1.7707e+000  4.8275e+000
  5.17086e-004  1.4566e+000  4.9315e+000
  5.17679e-004  1.1605e+000  4.9814e+000
  5.18239e-004  8.8025e-001  4.9986e+000
  5.18979e-004  5.1008e-001  5.0000e+000
  5.19892e-004  5.3688e-002  5.0000e+000
 5.199999e-004  0.0000e+000  5.0000e+000
 5.203734e-004  0.0000e+000  5.0000e+000
 5.207768e-004  0.0000e+000  5.0000e+000
   5.2823e-004  0.0000e+000  5.0000e+000
   5.3457e-004  0.0000e+000  5.0000e+000
   5.4069e-004  0.0000e+000  5.0000e+000
   5.4656e-004  0.0000e+000  5.0000e+000
   5.5656e-004  0.0000e+000  5.0000e+000
   5.6656e-004  0.0000e+000  5.0000e+000
   5.7656e-004  0.0000e+000  5.0000e+000
   5.8656e-004  0.0000e+000  5.0000e+000
   5.9656e-004  0.0000e+000  5.0000e+000
  6.00000e-004  0.0000e+000  5.0000e+000

* Parsing                      0.02 seconds
* Setup                        0.00 seconds
* DC operating point           0.01 seconds
* Transient Analysis           0.11 seconds
* -----------------------------------------
* Total                        0.14 seconds


* End of T-Spice output file
